paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,coder_notes
401,20,902,2,2,0,0,3,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[实验]; MT=20; MY=2; MF9=902
402,10,909,1,2,3,3,1,PolicySalience=2[路径]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[文献综述]; MT=10; MY=1; MF9=909
403,20,904,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[南海]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
404,40,901,3,3,3,3,0,PolicySalience=3[办法]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
405,20,904,3,2,0,0,0,PolicySalience=2[路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
406,40,901,3,2,2,0,0,PolicySalience=2[框架]; PoliticalSensitivity=2[公共安全]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
407,10,908,1,2,3,0,0,PolicySalience=2[模式]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=908
408,40,901,3,2,3,0,1,PolicySalience=2[政策建议]; PoliticalSensitivity=3[新疆]; SecrecyConstraint=0; DataAccess=1[理论分析]; MT=40; MY=3; MF9=901
409,10,909,1,2,3,3,0,PolicySalience=2[对策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
410,10,909,1,3,3,0,0,PolicySalience=3[问责]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
411,10,909,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
412,10,909,1,2,3,3,0,PolicySalience=2[对策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
413,10,909,1,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
414,20,904,3,3,3,0,1,PolicySalience=3[流程]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
415,40,901,3,2,3,0,0,PolicySalience=2[模式]; PoliticalSensitivity=3[颜色革命]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
416,20,904,3,2,0,0,1,PolicySalience=2[路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[概念辨析]; MT=20; MY=3; MF9=904
417,10,909,1,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
418,20,904,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
419,20,908,2,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=908
420,20,904,3,3,3,3,2,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=2[案例研究]; MT=20; MY=3; MF9=904
421,10,909,1,2,3,0,0,PolicySalience=2[治理路径]; PoliticalSensitivity=3[反分裂]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
422,10,909,1,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[社会稳定]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
423,30,903,5,3,3,0,1,PolicySalience=3[指标体系]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
424,10,908,1,2,0,0,1,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=10; MY=1; MF9=908
425,20,906,3,2,3,1,0,PolicySalience=2[框架]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=20; MY=3; MF9=906
426,10,909,1,2,3,0,1,PolicySalience=2[对策]; PoliticalSensitivity=3[敌对势力]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=10; MY=1; MF9=909
427,30,903,5,3,3,3,1,PolicySalience=3[制度设计]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
428,20,904,4,2,0,0,1,PolicySalience=2[政策建议]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=4; MF9=904
429,30,903,5,3,3,0,1,PolicySalience=3[制度设计]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
430,20,904,3,3,1,0,1,PolicySalience=3[制度设计]; PoliticalSensitivity=1[政策评估]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
431,20,906,4,3,3,3,2,PolicySalience=3[执法]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[涉密]; DataAccess=2[样本]; MT=20; MY=4; MF9=906
432,20,904,3,3,3,0,1,PolicySalience=3[制度设计]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
433,40,901,3,2,3,3,0,PolicySalience=2[对策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
434,20,904,3,1,3,3,1,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[理论分析]; MT=20; MY=3; MF9=904
435,10,909,1,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
436,40,901,3,2,3,3,1,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[文献综述]; MT=40; MY=3; MF9=901
437,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[社会稳定]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
438,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
439,20,902,4,3,3,0,3,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=3[实验]; MT=20; MY=4; MF9=902
440,20,904,3,3,3,0,0,PolicySalience=3[条款]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
441,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
442,20,901,2,3,0,0,0,PolicySalience=3[程序]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=901
443,30,903,5,2,3,0,1,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[思辨]; MT=30; MY=5; MF9=903
444,30,902,5,3,3,3,3,PolicySalience=3[规定]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=3[实验]; MT=30; MY=5; MF9=902
445,10,908,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=908
446,30,903,5,3,2,0,1,PolicySalience=3[规范]; PoliticalSensitivity=2[舆情]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
447,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
448,30,902,5,2,3,3,3,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=3[实验]; MT=30; MY=5; MF9=902
449,20,904,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
450,40,901,3,2,2,0,0,PolicySalience=2[对策]; PoliticalSensitivity=2[公共安全]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
451,20,904,3,3,3,0,1,PolicySalience=3[流程]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
452,30,903,5,3,3,3,1,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[作战]; DataAccess=1[思辨]; MT=30; MY=5; MF9=903
453,40,908,3,2,3,0,1,PolicySalience=2[路径]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[思辨]; MT=40; MY=3; MF9=908
454,20,904,3,3,3,3,1,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=1[理论分析]; MT=20; MY=3; MF9=904
455,40,908,3,2,3,3,1,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=1[文献综述]; MT=40; MY=3; MF9=908
456,10,909,1,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
457,20,904,3,2,3,0,2,PolicySalience=2[对策]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=2[案例研究]; MT=20; MY=3; MF9=904
458,40,908,3,3,3,0,1,PolicySalience=3[问责]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=40; MY=3; MF9=908
459,10,909,1,1,3,3,3,PolicySalience=1[政策]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[国家秘密]; DataAccess=3[数据库]; MT=10; MY=1; MF9=909
