paper_id,E_EXP,E_STAT,E_SURVEY,E_CASE,E_ETHNO,E_TEXT,E_MODEL,E_POLICYEVAL,E_MIXED,E_NORM,rater,decision_notes
1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Q,"E_CASE, E_TEXT"
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,E_CASE
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,no_positive_evidence
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,E_CASE
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Q,"E_CASE, E_POLICYEVAL, E_NORM"
8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Q,"E_TEXT, E_MODEL, E_NORM"
9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,E_CASE
10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,E_CASE
11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Q,"E_STAT, E_CASE, E_TEXT, E_NORM"
13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,E_CASE
14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
15,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Q,"E_EXP, E_CASE, E_TEXT"
16,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,"E_STAT, E_SURVEY"
17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_SURVEY, E_CASE, E_NORM"
18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,E_CASE
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Q,"E_CASE, E_MIXED, E_NORM"
21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Q,E_TEXT
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_EXP, E_NORM"
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
31,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Q,"E_STAT, E_CASE, E_MIXED"
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Q,"E_POLICYEVAL, E_MIXED, E_NORM"
33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Q,"E_STAT, E_CASE, E_MIXED"
34,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_EXP, E_CASE, E_NORM"
35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,E_CASE
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,no_positive_evidence
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
40,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Q,E_TEXT
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Q,"E_POLICYEVAL, E_NORM"
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Q,"E_MIXED, E_NORM"
48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
49,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Q,"E_CASE, E_MODEL, E_POLICYEVAL, E_MIXED, E_NORM"
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Q,"E_TEXT, E_NORM"
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,no_positive_evidence
58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
60,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Q,E_POLICYEVAL
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Q,"E_TEXT, E_NORM"
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
66,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Q,"E_TEXT, E_NORM"
67,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_TEXT, E_NORM"
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
70,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Q,"E_CASE, E_MIXED, E_NORM"
71,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Q,"E_CASE, E_TEXT, E_POLICYEVAL, E_NORM"
72,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_TEXT, E_NORM"
73,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_TEXT, E_NORM"
74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Q,"E_CASE, E_POLICYEVAL"
77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,E_CASE
78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
80,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Q,"E_CASE, E_MIXED, E_NORM"
83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
84,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_EXP, E_CASE, E_NORM"
85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,E_NORM
88,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Q,"E_EXP, E_CASE, E_MODEL"
89,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Q,"E_CASE, E_TEXT"
90,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
91,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Q,"E_CASE, E_MODEL, E_MIXED"
92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
95,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_TEXT, E_NORM"
96,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_TEXT, E_NORM"
97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Q,"E_CASE, E_POLICYEVAL, E_NORM"
98,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_EXP, E_CASE, E_NORM"
99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Q,"E_CASE, E_NORM"
