paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,coder_notes
601,20,904,3,3,0,0,0,PolicySalience=3[标准]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
602,30,903,5,2,3,0,1,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[思辨]; MT=30; MY=5; MF9=903
603,20,902,2,3,3,3,3,PolicySalience=3[流程]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=3[数据库]; MT=20; MY=2; MF9=902
604,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
605,20,904,3,3,0,0,0,PolicySalience=3[条款]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
606,20,902,2,2,0,0,3,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[追踪调查]; MT=20; MY=2; MF9=902
607,30,903,5,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[哲学]; MT=30; MY=5; MF9=903
608,10,909,1,3,3,0,3,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=10; MY=1; MF9=909
609,30,902,5,3,2,0,3,PolicySalience=3[规范]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=0; DataAccess=3[实验]; MT=30; MY=5; MF9=902
610,10,908,1,3,0,0,1,PolicySalience=3[清单]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=10; MY=1; MF9=908
611,20,904,4,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=904
612,30,903,5,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
613,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
614,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
615,20,905,2,3,3,0,0,PolicySalience=3[制度设计]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=905
616,30,903,5,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
617,20,904,4,3,3,0,1,PolicySalience=3[制度设计]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[理论分析]; MT=20; MY=4; MF9=904
618,20,902,2,3,3,0,3,PolicySalience=3[标准]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=3[实验]; MT=20; MY=2; MF9=902
619,20,904,4,3,0,0,2,PolicySalience=3[标准]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[问卷]; MT=20; MY=4; MF9=904
620,20,904,3,3,3,0,2,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=2[案例研究]; MT=20; MY=3; MF9=904
621,20,904,3,3,3,1,1,PolicySalience=3[规范]; PoliticalSensitivity=3[国防]; SecrecyConstraint=1[白皮书]; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
622,20,904,4,3,3,0,2,PolicySalience=3[考核]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=2[案例研究]; MT=20; MY=4; MF9=904
623,20,901,2,3,0,0,2,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[样本]; MT=20; MY=2; MF9=901
624,20,904,4,3,0,0,2,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[样本]; MT=20; MY=4; MF9=904
625,20,901,2,3,0,0,1,PolicySalience=3[条款]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[理论分析]; MT=20; MY=2; MF9=901
626,20,904,4,2,0,0,2,PolicySalience=2[治理路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[访谈]; MT=20; MY=4; MF9=904
