paper_id,title,year,MethodTransparency,Approach,Families,Tags,method_text_explicit,method_text_implicit
655,国家安全学视域下的人工智能安全研究：议题网络建构的初步尝试,2023,Low,规范/思辨,['文献研究'],['文献研究'],文章在研究方法部分未设独立小节，但全文呈现出清晰的方法论框架。研究首先基于国家安全学“横切延伸性”学科特征与人工智能“双重时空意义”，提出两者之间的耦合关系；其…,隐性方法逻辑主要体现在：通过对人工智能认知、预测、决策与集成能力的剖析，说明其在政治、经济、军事安全中的系统性扰动作用；通过案例（剑桥分析事件、致命性自主武器发展、网络攻防等），揭示人工智能在网络、核、国土安全中的赋能效应；通过对科技安全、…
115,论计算机网络信息安全,2001,Medium,定性,['过程溯源'],['过程溯源'],"解决问题的对策主要包括: 从战略高度认识网络信息安全问题; 重视对网络信息安全技术的研究与开发, 加强对计算机病毒和黑客攻击的有效防范; 借鉴他国经验, 完善与…","一位美国情报官员曾经声称, 给他10亿美元外加20个能力高强的黑客, 他就可以关掉美国——就像关掉一台计算机一样。美国的一份报告宣称“在1995年的一年时间, 美国国防部共遭受了250,000次袭击, 但真实数字是不可能知道的, 因为, 据…"
26,以新安全格局保障新发展格局,2022,Low,规范/思辨,"['政策解读/思政', '法学—规范解释']","['政策解读/思政', '法学规范（解释型）']",无可明确摘录,【推断】文章为总体国家安全观研究的理论阐释类，围绕党的二十大提出的“以新安全格局保障新发展格局”展开，研究路径体现为“战略背景—重大意义—系统思维—能力现代化—重点领域安全”的逻辑。方法论上主要通过政策与战略文件解读（习近平总书记报告、总体…
760,低空经济发展过程中的信息安全：逻辑、挑战与治理,2025,Medium,定性,['政策分析与评价'],"['政策分析/评价', '政策解读/思政', '文献研究', '法学规范（解释型）']",本文在研究方法上主要采用文献研究、政策文件解读与框架建模的路径，结合总体国家安全观，系统分析低空经济发展过程中信息安全的逻辑框架、风险挑战与治理思路；研究设计以…,隐性方法体现在文章通过“逻辑框架—挑战分析—治理路径”的三段式结构，展现了框架化建模与比较研究的思路；在挑战分析部分，结合制造、飞行、服务与保障环节的实际案例，隐性体现了案例说明与因果链条推演的方法；在治理路径部分，提出“价值—制度—技术”…
282,抗疫视阈下中国与“一带一路”沿线国家的安全合作,2021,Medium,规范/思辨,"['文献研究', '法学—规范解释']","['文献研究', '法学规范（解释型）']",本文未设独立研究方法章节，但研究设计体现在政策文本分析与逻辑演绎。作者以新冠疫情冲击下的国际安全态势为背景，指出传统军事同盟在应对非传统安全问题上的局限性，单边…,隐性方法体现在“案例剖析—比较分析—逻辑推演”。具体包括：通过对比疫情期间中美在国际抗疫合作中的表现，说明合作安全优于传统结盟与单边主义；结合“一带一路”项目受阻、驻外机构防疫与第三方大国干扰案例，揭示合作困境；纵向回顾“一带一路”提出以来…
251,阿富汗局势对中国国家安全的影响,2017,High,定量,['博弈与优化'],['博弈/优化'],研究指出，阿富汗局势自 2001 年战争结束后持续动荡，其国家重建面临安全局势恶化、经济发展疲软和恐怖主义威胁等挑战。文章引用数据，指出 2017 年阿富汗境内…,文章采用威胁分析框架，归纳了阿富汗局势对中国国家安全的多重影响，包括恐怖主义渗透（如东突等恐怖势力）、毒品走私、地区冲突以及大国博弈。研究通过案例列举，提到了 2016 年 7 月 23 日喀布尔发生的爆炸袭击，造成 80 人死亡，231 …
229,新时期总体国家安全观指导下的中国国家安全战略目标及措施,2015,Medium,定性,['过程溯源'],"['政策解读/思政', '过程溯源']",研究认为，《国家安全战略纲要》的根本目标是以人民安全为宗旨，总体目标是“全面安全”“可持续安全”“共同安全”。战略措施应包括：坚持以总体国家安全观为指导；增强忧…,文章采用目标分解法，将总体目标细分为：内部安全目标（求发展、求变革、求稳定、建设平安中国）和外部安全目标（求和平、求合作、求共赢、建设和谐世界）；国民安全目标和国土安全目标（拓展到天域安全、网域安全、磁域安全、经济海域安全等）；传统安全与非…
143,解析全球化背景下的伊斯兰文化安全,2007,Medium,定性,['过程溯源'],"['政策解读/思政', '法学规范（解释型）', '过程溯源']",伊斯兰世界认为文化安全就是文化特质的保持和延续。为了适应全球化时代的挑战，伊斯兰文化正按照自己的特点和需要逐渐进行改革。改革就是改变和匡正错误，革除弊端和腐败。…,全球化背景下，西方利用一切手段进行全方位的文化渗透。正如约瑟夫·奈指出，倘若一个国家的文化处于中心地位，别国就会自动地向它靠拢。美国基辛格同仁公司总裁曾在《外交季刊》上撰文，宣称：“美国应该确保：如果世界向统一语言发展，那么这种语言就应该是…
755,当前加强高校国家安全教育的紧迫性与路径分析,2025,Medium,定性,['过程溯源'],"['政策解读/思政', '文献研究', '法学规范（解释型）', '过程溯源']",本文在研究方法上主要采用文献研究、政策文件解读与规范性分析的路径，结合总体国家安全观提出十周年与《国家安全法》颁布十周年的背景，系统阐释加强高校国家安全教育的必…,隐性方法体现在文章通过“宏观—中观—微观”的多层次逻辑展开，将国家、高校与学生个体结合，展现了分层框架与结构化分析的研究思路；在现状分析部分，通过对思政课程、教材建设、实践活动与案例的梳理，体现了案例化说明与比较研究的隐性方法；在问题分析部…
105,彰显总体国家安全观理论魅力与实践伟力,2025,Medium,规范/思辨,['政策解读/思政'],['政策解读/思政'],【补全】总体国家安全观是理论创新的产物，是马克思主义国家安全理论中国化时代化的最新成果，是运用“两个结合”根本方法进行理论创新的典范。白皮书对总体国家安全观作出…,维护政治安全方面：全面深化党的建设制度改革，深入推进全面从严治党，例如2025年在全党开展的深入贯彻中央八项规定精神学习教育活动。维护社会安全方面：持续深化严打暴恐专项行动，对“东突”等“三股势力”保持依法严打高压态势。依法严厉打击电信网络…
