paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,coder_notes
1,40,901,3,2,3,0,2,PolicySalience=2[对策]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=2[编码\b]; MT=40; MY=3; MF9=901
2,40,905,3,2,0,0,0,PolicySalience=2[路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=905
3,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
4,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
5,10,909,1,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
6,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[台海]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
7,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[香港]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
8,30,903,5,3,3,0,0,PolicySalience=3[标准]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
9,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
10,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
11,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
12,20,904,3,2,3,0,3,PolicySalience=2[框架]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=3; MF9=904
13,20,904,3,3,0,0,0,PolicySalience=3[指南]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
14,20,904,3,3,0,1,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=1[白皮书]; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
15,20,902,4,2,3,0,1,PolicySalience=2[路径]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[话语分析]; MT=20; MY=4; MF9=902
16,30,903,5,0,0,0,3,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[面板数据]; MT=30; MY=5; MF9=903
17,20,904,4,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[对抗]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=904
18,30,903,5,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
19,40,901,3,3,3,0,3,PolicySalience=3[规范]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=40; MY=3; MF9=901
20,20,902,2,3,0,0,3,PolicySalience=3[条例]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[实验]; MT=20; MY=2; MF9=902
21,20,906,3,3,3,3,0,PolicySalience=3[规定]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=906
22,20,902,4,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=4; MF9=902
23,30,903,5,3,2,0,0,PolicySalience=3[规范]; PoliticalSensitivity=2[边境]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
24,20,904,4,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[对抗]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=4; MF9=904
25,20,904,3,3,3,0,0,PolicySalience=3[立法]; PoliticalSensitivity=3[社会稳定]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
26,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
27,10,909,1,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
28,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[台海]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
29,20,904,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
30,10,909,1,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[反恐怖]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
31,30,903,5,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[哲学]; MT=30; MY=5; MF9=903
32,10,909,1,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
33,30,903,5,3,2,0,2,PolicySalience=3[执法]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=0; DataAccess=2[案例研究]; MT=30; MY=5; MF9=903
34,20,902,4,3,3,3,1,PolicySalience=3[办法]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[法理]; MT=20; MY=4; MF9=902
35,40,901,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
36,20,904,4,2,3,3,1,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[理论分析]; MT=20; MY=4; MF9=904
37,40,901,3,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[颜色革命]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
38,10,909,1,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
39,20,904,3,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
40,20,904,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
41,30,903,5,3,2,2,0,PolicySalience=3[流程]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=2[未公开]; DataAccess=0; MT=30; MY=5; MF9=903
